5469	526	5684	6998	370	
3842	4034	316	973	2994	
4275	5450	1988	8973	5	
8253	1017	2408	2855	3939	
4828	9072	696	2731	6726	
606	3842	2620	9756	1527	
2193	2043	4149	5122	6115	
4828	2731	696	1169	1447	
5245	3969	2043	5945	984	
696	8837	8030	9072	736	
440	3824	1066	6889	8788	
5	1512	5351	7823	9052	
754	4699	5	41	270	
8253	1851	8288	7078	5105	
1212	559	2821	6143	8221	
3875	6594	9795	911	1688	
696	2966	6358	8837	268	
2731	2801	3527	5960	7671	
349	5258	3646	8030	151	
4670	5421	4372	91	1694	
324	7439	1210	5	2391	
